https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1605139200000,2020-11-12 00:00:00,YFI/USDT,16397.75760158,17109.96008306,15000,15454.66127296,62427.62111952,3.95306519,0,0,0,15792.20633078
1605052800000,2020-11-11 00:00:00,YFI/USDT,18339.33967096,19292.98583213,15764.79,16740.07397802,135518.1179638,7.57644736,0,0,0,17886.76295426
1604966400000,2020-11-10 00:00:00,YFI/USDT,14940.96339918,18757.55201004,14709.29060298,18160.01675204,204694.55387085,11.59377864,0,0,0,17655.55132859
1604880000000,2020-11-09 00:00:00,YFI/USDT,15172.8537432,15600,14000,14968.35051819,28639.41383575,1.93195777,0,0,0,14824.03719195
1604793600000,2020-11-08 00:00:00,YFI/USDT,14202.63800926,15900,13398.85194266,15247.47776499,44019.26357676,3.0312905,0,0,0,14521.62489103
1604707200000,2020-11-07 00:00:00,YFI/USDT,11962.89145421,17250,11954.38062166,14294.87758754,270283.88993147,18.54734676,0,0,0,14572.64445577
1604620800000,2020-11-06 00:00:00,YFI/USDT,8426.47172809,11991.76600424,8426.47172809,11747.77942817,85082.29223011,8.34026663,0,0,0,10201.38755805
1604534400000,2020-11-05 00:00:00,YFI/USDT,8520.56633381,9899.99999999,7476.18800394,8536.85964247,103351.32498499,12.23487173,0,0,0,8447.27490943
1604448000000,2020-11-04 00:00:00,YFI/USDT,9349.73960805,9594.87282361,8254.73182789,8520.56633381,64024.495501,7.4310825,0,0,0,8615.76970798
1604361600000,2020-11-03 00:00:00,YFI/USDT,10051.59214408,10186.41797408,9345.72818661,9442.55849774,22070.5996135,2.29501912,0,0,0,9616.73888516
1604275200000,2020-11-02 00:00:00,YFI/USDT,10798.38668044,11140.57522244,10021.0000001,10125.72341393,22185.22734088,2.09791204,0,0,0,10574.90825062
1604188800000,2020-11-01 00:00:00,YFI/USDT,10452.50834253,11058.06461982,9986.20282314,10634.29588102,21033.89074966,2.01674997,0,0,0,10429.59765095
1604102400000,2020-10-31 00:00:00,YFI/USDT,11078.82640619,11361.46832946,10343.5574544,10523.15014355,16187.07625045,1.48620547,0,0,0,10891.54667857
1604016000000,2020-10-30 00:00:00,YFI/USDT,10608.22201633,11941.6591,9521.63128589,11000,119661.64213431,11.38544893,0,0,0,10510.05040468
1603929600000,2020-10-29 00:00:00,YFI/USDT,12560.35530277,12911.19962982,10560.64323769,10798.85135271,48663.71318184,4.21923575,0,0,0,11533.77437651
1603843200000,2020-10-28 00:00:00,YFI/USDT,13395.28225747,13583.54743954,11903.57067197,12502,50892.52996143,4.03565421,0,0,0,12610.72612101
1603756800000,2020-10-27 00:00:00,YFI/USDT,13677.81365997,14178.0632869,13350,13412.2,28210.17899017,2.03906744,0,0,0,13834.84353522
1603670400000,2020-10-26 00:00:00,YFI/USDT,14143.44538981,14518.71152278,13208.99999999,13668.04944471,80481.4823192,5.849572,0,0,0,13758.52495177
1603584000000,2020-10-25 00:00:00,YFI/USDT,14750.21427006,14854.89180059,14143.44538984,14254.29761811,16294.42733764,1.12398261,0,0,0,14497.04576625
1603497600000,2020-10-24 00:00:00,YFI/USDT,14801.48016086,15431.03607914,14576.74566628,14761.08224987,34180.09305315,2.25793686,0,0,0,15137.75414125
1603411200000,2020-10-23 00:00:00,YFI/USDT,13677.85623522,14930.46802782,13677.85623522,14871.41169542,46606.61927956,3.28450114,0,0,0,14189.86241532
1603324800000,2020-10-22 00:00:00,YFI/USDT,13424.21386414,14367,13229.65899754,13608.86904007,34792.41470677,2.51350064,0,0,0,13842.21438144
1603238400000,2020-10-21 00:00:00,YFI/USDT,13019.96324149,14681.82577193,13019.96324149,13168.23395819,68104.71096822,4.94773733,0,0,0,13764.81943681
1603152000000,2020-10-20 00:00:00,YFI/USDT,13707.64874323,14080.41698709,12722.79407037,13062.38885065,56056.02204192,4.18489202,0,0,0,13394.85505815
1603065600000,2020-10-19 00:00:00,YFI/USDT,15433.01454814,15575.70512807,13847.15883647,13847.15883647,18295.40675857,1.25240238,0,0,0,14608.24975322
1602979200000,2020-10-18 00:00:00,YFI/USDT,14035.35669684,15700,14021.21,15277.38242003,60997.26523423,4.07984159,0,0,0,14950.89058941
1602892800000,2020-10-17 00:00:00,YFI/USDT,13359.48446881,14100.2,13159.0169499,14100.2,17151.78188178,1.25582373,0,0,0,13657.79406141
1602806400000,2020-10-16 00:00:00,YFI/USDT,14290.14370025,14535.74345614,13450.0002788,13450.0002788,18650.53801855,1.33750696,0,0,0,13944.25492825
1602720000000,2020-10-15 00:00:00,YFI/USDT,14507.67219676,15700,13938.91321155,14611.88340555,16514.6828164,1.1081151,0,0,0,14903.40021213
1602633600000,2020-10-14 00:00:00,YFI/USDT,15953.50189734,15953.50189734,13756.37870737,14449.1744545,72286.52590737,4.92201727,0,0,0,14686.36169725
1602547200000,2020-10-13 00:00:00,YFI/USDT,16395.50889039,16656.59937689,15361.42394371,15691.44390794,29066.48610476,1.81773413,0,0,0,15990.50467559
1602460800000,2020-10-12 00:00:00,YFI/USDT,16852.7944845,17483.3452956,15702.23640914,16492.81672972,74157.85350122,4.44944059,0,0,0,16666.781363
1602374400000,2020-10-11 00:00:00,YFI/USDT,15889.03997439,17594.28973783,15095.97410038,16896.33781838,235099.85641487,14.37025611,0,0,0,16360.17163613
1602288000000,2020-10-10 00:00:00,YFI/USDT,18116.92257681,19348.49763727,15895.99999999,15956.39578532,181172.97050975,10.48973356,0,0,0,17271.45589289
1602201600000,2020-10-09 00:00:00,YFI/USDT,16714.21512742,19385.91635019,15851.89251095,18278.95816462,278472.08833775,15.53679399,0,0,0,17923.39452508
1602115200000,2020-10-08 00:00:00,YFI/USDT,14860.23651518,17250,12250,16788.83399397,467755.53688085,31.65167594,0,0,0,14778.22336382
1602028800000,2020-10-07 00:00:00,YFI/USDT,16407.87209764,16459.17442116,13445.63831638,14764.77033134,303878.87466387,20.34580163,0,0,0,14935.70419048
