https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1595120400000,2020-07-19 01:00:00,USDP/USDT,1.00092018,1.00093981,1.00074014,1.00093981,0,0,0,0,0,0
1595116800000,2020-07-19 00:00:00,USDP/USDT,1.00092018,1.00093981,1.00074014,1.00093981,35.32777784,35.29814864,0,0,0,0
1595113200000,2020-07-18 23:00:00,USDP/USDT,1.00113977,1.00113977,1.00113977,1.00113977,0,0,0,0,0,0
1595109600000,2020-07-18 22:00:00,USDP/USDT,1.00113977,1.00113977,1.00113977,1.00113977,0,0,0,0,0,0
1595106000000,2020-07-18 21:00:00,USDP/USDT,1.00113977,1.00113977,1.00113977,1.00113977,0,0,0,0,0,0
1595102400000,2020-07-18 20:00:00,USDP/USDT,1.00113977,1.00113977,1.00113977,1.00113977,0,0,0,0,0,0
1595098800000,2020-07-18 19:00:00,USDP/USDT,1.00113977,1.00113977,1.00113977,1.00113977,0,0,0,0,0,0
1595095200000,2020-07-18 18:00:00,USDP/USDT,1.00113977,1.00113977,1.00113977,1.00113977,2.96999999,2.96661873,0,0,0,0
1595091600000,2020-07-18 17:00:00,USDP/USDT,1.00112022,1.00112022,1.00094018,1.00094018,0,0,0,0,0,0
1595088000000,2020-07-18 16:00:00,USDP/USDT,1.00112022,1.00112022,1.00094018,1.00094018,0,0,0,0,0,0
1595084400000,2020-07-18 15:00:00,USDP/USDT,1.00112022,1.00112022,1.00094018,1.00094018,0,0,0,0,0,0
1595080800000,2020-07-18 14:00:00,USDP/USDT,1.00112022,1.00112022,1.00094018,1.00094018,0,0,0,0,0,0
1595077200000,2020-07-18 13:00:00,USDP/USDT,1.00112022,1.00112022,1.00094018,1.00094018,38.87817168,38.83796925,0,0,0,0
1595073600000,2020-07-18 12:00:00,USDP/USDT,1.00132026,1.00133973,1.00114022,1.00133973,0,0,0,0,0,0
1595070000000,2020-07-18 11:00:00,USDP/USDT,1.00132026,1.00133973,1.00114022,1.00133973,0,0,0,0,0,0
1595066400000,2020-07-18 10:00:00,USDP/USDT,1.00132026,1.00133973,1.00114022,1.00133973,0,0,0,0,0,0
1595062800000,2020-07-18 09:00:00,USDP/USDT,1.00132026,1.00133973,1.00114022,1.00133973,63.92394485,63.84543125,0,0,0,0
1595059200000,2020-07-18 08:00:00,USDP/USDT,1.00138027,1.00138027,1.00132026,1.00132026,0,0,0,0,0,0
1595055600000,2020-07-18 07:00:00,USDP/USDT,1.00138071,1.00138071,1.00132026,1.00132026,21.31145944,21.28279888,0,0,0,0
1595052000000,2020-07-18 06:00:00,USDP/USDT,1.00138071,1.00138071,1.00138071,1.00138071,0,0,0,0,0,0
1595048400000,2020-07-18 05:00:00,USDP/USDT,1.00157969,1.00157969,1.00138071,1.00138071,43.41014005,43.35028588,0,0,0,0
1595044800000,2020-07-18 04:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595041200000,2020-07-18 03:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595037600000,2020-07-18 02:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595034000000,2020-07-18 01:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595030400000,2020-07-18 00:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595026800000,2020-07-17 23:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595023200000,2020-07-17 22:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595019600000,2020-07-17 21:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595016000000,2020-07-17 20:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595012400000,2020-07-17 19:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595008800000,2020-07-17 18:00:00,USDP/USDT,1.00157969,1.00157969,1.00157969,1.00157969,0,0,0,0,0,0
1595005200000,2020-07-17 17:00:00,USDP/USDT,1.00138027,1.00157969,1.00138027,1.00157969,1.000675,0.99909674,0,0,0,0
1595001600000,2020-07-17 16:00:00,USDP/USDT,1.00138027,1.00138027,1.00138027,1.00138027,0,0,0,0,0,0
1594998000000,2020-07-17 15:00:00,USDP/USDT,1.00138027,1.00138027,1.00138027,1.00138027,0,0,0,0,0,0
1594994400000,2020-07-17 14:00:00,USDP/USDT,1.00138027,1.00138027,1.00138027,1.00138027,0,0,0,0,0,0
1594990800000,2020-07-17 13:00:00,USDP/USDT,1.00138027,1.00138027,1.00138027,1.00138027,0,0,0,0,0,0
1594987200000,2020-07-17 12:00:00,USDP/USDT,1.00138027,1.00138027,1.00138027,1.00138027,0,0,0,0,0,0
1594983600000,2020-07-17 11:00:00,USDP/USDT,1.00138027,1.00138027,1.00138027,1.00138027,0,0,0,0,0,0
1594980000000,2020-07-17 10:00:00,USDP/USDT,1.00138027,1.00138027,1.00138027,1.00138027,6.00827434,5.99999274,0,0,0,0
1594976400000,2020-07-17 09:00:00,USDP/USDT,1.00143972,1.00159969,1.00140028,1.00140028,5.9105594,5.90229454,0,0,0,0
1594972800000,2020-07-17 08:00:00,USDP/USDT,1.00143972,1.00159969,1.00143972,1.00159969,0,0,0,0,0,0
1594969200000,2020-07-17 07:00:00,USDP/USDT,1.00143972,1.00159969,1.00143972,1.00159969,58.08073328,57.99248939,0,0,0,0
1594965600000,2020-07-17 06:00:00,USDP/USDT,1.00119977,1.00141972,1.00119977,1.00141972,8.48078641,8.46876314,0,0,0,0
1594962000000,2020-07-17 05:00:00,USDP/USDT,1.00119977,1.00139973,1.00119977,1.00139973,0,0,0,0,0,0
1594958400000,2020-07-17 04:00:00,USDP/USDT,1.00119977,1.00139973,1.00119977,1.00139973,0,0,0,0,0,0
1594954800000,2020-07-17 03:00:00,USDP/USDT,1.00119977,1.00139973,1.00119977,1.00139973,0,0,0,0,0,0
1594951200000,2020-07-17 02:00:00,USDP/USDT,1.00119977,1.00139973,1.00119977,1.00139973,0,0,0,0,0,0
1594947600000,2020-07-17 01:00:00,USDP/USDT,1.00119977,1.00139973,1.00119977,1.00139973,54.18082148,54.10936565,0,0,0,0
1594944000000,2020-07-17 00:00:00,USDP/USDT,1.00098828,1.00098828,1.00098828,1.00098828,0,0,0,0,0,0
1594940400000,2020-07-16 23:00:00,USDP/USDT,1.00098828,1.00098828,1.00098828,1.00098828,0,0,0,0,0,0
1594936800000,2020-07-16 22:00:00,USDP/USDT,1.00098828,1.00098828,1.00098828,1.00098828,0,0,0,0,0,0
1594933200000,2020-07-16 21:00:00,USDP/USDT,1.00098828,1.00098828,1.00098828,1.00098828,0,0,0,0,0,0
1594929600000,2020-07-16 20:00:00,USDP/USDT,1.00098828,1.00098828,1.00098828,1.00098828,57.85066059,57.79354439,0,0,0,0
1594926000000,2020-07-16 19:00:00,USDP/USDT,1.00097981,1.00117977,1.00097981,1.00117977,36.38277028,36.3433727,0,0,0,0
1594922400000,2020-07-16 18:00:00,USDP/USDT,1.00097981,1.00097981,1.00097981,1.00097981,0,0,0,0,0,0
1594918800000,2020-07-16 17:00:00,USDP/USDT,1.00084016,1.00097981,1.00076015,1.00097981,2.53668353,2.5342005,0,0,0,0
1594915200000,2020-07-16 16:00:00,USDP/USDT,1.00084016,1.00095981,1.00076015,1.00095981,0,0,0,0,0,0
1594911600000,2020-07-16 15:00:00,USDP/USDT,1.0010402,1.0010402,1.00076015,1.00095981,22.6735416,22.65473942,0,0,0,0
1594908000000,2020-07-16 14:00:00,USDP/USDT,1.00106021,1.00106021,1.00086017,1.00086017,28.48168852,28.45459657,0,0,0,0
1594904400000,2020-07-16 13:00:00,USDP/USDT,1.00106021,1.00106021,1.00106021,1.00106021,0,0,0,0,0,0
1594900800000,2020-07-16 12:00:00,USDP/USDT,1.00106021,1.00106021,1.00106021,1.00106021,0,0,0,0,0,0
1594897200000,2020-07-16 11:00:00,USDP/USDT,1.00125975,1.00125975,1.00106021,1.00106021,2.52842214,2.52549279,0,0,0,0
1594893600000,2020-07-16 10:00:00,USDP/USDT,1.00115977,1.00123976,1.00115977,1.00123976,15.23239288,15.21419307,0,0,0,0
1594890000000,2020-07-16 09:00:00,USDP/USDT,1.00099981,1.00113978,1.00099981,1.00113978,0,0,0,0,0,0
1594886400000,2020-07-16 08:00:00,USDP/USDT,1.0008743,1.00113978,1.0008743,1.00113978,28.89325392,28.86260829,0,0,0,0
1594882800000,2020-07-16 07:00:00,USDP/USDT,1.0008743,1.0008743,1.0008743,1.0008743,0,0,0,0,0,0
1594879200000,2020-07-16 06:00:00,USDP/USDT,1.00098019,1.00098019,1.00080016,1.0008743,285.0455837,284.79658605,0,0,0,0
1594875600000,2020-07-16 05:00:00,USDP/USDT,1.00098019,1.00098019,1.00080016,1.00080016,0,0,0,0,0,0
