https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ACM,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1710068400000,2024-03-10 11:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710064800000,2024-03-10 10:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710061200000,2024-03-10 09:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710057600000,2024-03-10 08:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710054000000,2024-03-10 07:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710050400000,2024-03-10 06:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710046800000,2024-03-10 05:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710043200000,2024-03-10 04:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710039600000,2024-03-10 03:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710036000000,2024-03-10 02:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710032400000,2024-03-10 01:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710028800000,2024-03-10 00:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710025200000,2024-03-09 23:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710021600000,2024-03-09 22:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710018000000,2024-03-09 21:00:00,ACM/USDD,4,4,4,4,0,0,0,0,0,3.9462
1710014400000,2024-03-09 20:00:00,ACM/USDD,3.5,4,3.5,4,4.1345,1.0495,4.1345,1.0495,3,3.9462
1710010800000,2024-03-09 19:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1710007200000,2024-03-09 18:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1710003600000,2024-03-09 17:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1710000000000,2024-03-09 16:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709996400000,2024-03-09 15:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709992800000,2024-03-09 14:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709989200000,2024-03-09 13:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709985600000,2024-03-09 12:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709982000000,2024-03-09 11:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709978400000,2024-03-09 10:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709974800000,2024-03-09 09:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709971200000,2024-03-09 08:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709967600000,2024-03-09 07:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709964000000,2024-03-09 06:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709960400000,2024-03-09 05:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709956800000,2024-03-09 04:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709953200000,2024-03-09 03:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709949600000,2024-03-09 02:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709946000000,2024-03-09 01:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709942400000,2024-03-09 00:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709938800000,2024-03-08 23:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.5
1709935200000,2024-03-08 22:00:00,ACM/USDD,3.5,3.5,3.5,3.5,2.5494,0.7284,2.5494,0.7284,1,3.5
1709931600000,2024-03-08 21:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709928000000,2024-03-08 20:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709924400000,2024-03-08 19:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709920800000,2024-03-08 18:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709917200000,2024-03-08 17:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709913600000,2024-03-08 16:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709910000000,2024-03-08 15:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709906400000,2024-03-08 14:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709902800000,2024-03-08 13:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709899200000,2024-03-08 12:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709895600000,2024-03-08 11:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709892000000,2024-03-08 10:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709888400000,2024-03-08 09:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709884800000,2024-03-08 08:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709881200000,2024-03-08 07:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709877600000,2024-03-08 06:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709874000000,2024-03-08 05:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
