https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1666918800000,2022-10-28 01:00:00,ADA/USDT,0.38521,0.38755,0.3846,0.38754,31063.402261168,80448.1039,16050.113140324,41570.1511,266,0.386130662890839575
1666915200000,2022-10-28 00:00:00,ADA/USDT,0.38812,0.38977,0.38445,0.38537,32982.978733166,85336.2551,16802.907276697,43461.8768,270,0.386511570473326076
1666911600000,2022-10-27 23:00:00,ADA/USDT,0.38984,0.39022,0.38779,0.38813,26076.459119908,67066.4355,11941.797021347,30718.5194,259,0.388816267165997089
1666908000000,2022-10-27 22:00:00,ADA/USDT,0.39121,0.39225,0.38684,0.38986,41861.769897924,107291.8936,17227.03908667,44098.8528,299,0.39017077325320276
1666904400000,2022-10-27 21:00:00,ADA/USDT,0.39293,0.39294,0.38982,0.39122,30902.129511151,79009.7095,15182.412898521,38819.2396,255,0.391119771721101655
1666900800000,2022-10-27 20:00:00,ADA/USDT,0.40194,0.40199,0.38821,0.39302,51635.855865447,130682.4025,40544.385644275,102551.3478,320,0.395134436766513014
1666897200000,2022-10-27 19:00:00,ADA/USDT,0.40008,0.40338,0.40008,0.40185,20840.299949895,51879.9282,10910.192518494,27163.3354,234,0.401704075870466083
1666893600000,2022-10-27 18:00:00,ADA/USDT,0.4001,0.40106,0.39848,0.4,26156.396382991,65428.1506,12056.826923728,30168.9125,247,0.39977374374856947
1666890000000,2022-10-27 17:00:00,ADA/USDT,0.39875,0.40203,0.39819,0.40009,13522.742470408,33801.5589,7565.849559468,18913.5729,251,0.400064844171852981
1666886400000,2022-10-27 16:00:00,ADA/USDT,0.39873,0.3998,0.39676,0.39874,29663.547260807,74421.8332,16765.94442316,42064.1818,225,0.39858762618106509
1666882800000,2022-10-27 15:00:00,ADA/USDT,0.40095,0.40288,0.39844,0.39895,29148.236995852,72744.1178,15373.898062749,38365.6107,223,0.400697621617029698
1666879200000,2022-10-27 14:00:00,ADA/USDT,0.40071,0.40502,0.40001,0.40123,22996.968978692,57038.6021,11701.761204403,29030.9074,244,0.403186020650989201
1666875600000,2022-10-27 13:00:00,ADA/USDT,0.40781,0.40807,0.39928,0.40067,12125.683923013,29930.6804,5369.84420114,13250.8842,236,0.40514457681524594
1666872000000,2022-10-27 12:00:00,ADA/USDT,0.40408,0.40843,0.40145,0.40843,19494.114994003,48194.3314,11505.889106508,28440.7559,240,0.404495584544184821
1666868400000,2022-10-27 11:00:00,ADA/USDT,0.4044,0.40621,0.40324,0.40412,23435.397036469,57915.7228,11157.572124269,27574.5656,238,0.404647793350177524
1666864800000,2022-10-27 10:00:00,ADA/USDT,0.40641,0.40641,0.40329,0.40451,27451.679760813,67780.2101,13081.391403946,32297.0559,223,0.405011830123248221
1666861200000,2022-10-27 09:00:00,ADA/USDT,0.40744,0.40744,0.40391,0.40648,20179.990508038,49717.8929,8813.884786885,21714.0675,218,0.405892784532513716
1666857600000,2022-10-27 08:00:00,ADA/USDT,0.40672,0.40888,0.40535,0.40745,16625.894490274,40818.1176,8536.43845158,20957.3648,240,0.40731784072930911
1666854000000,2022-10-27 07:00:00,ADA/USDT,0.40746,0.40968,0.40548,0.40646,20580.104886542,50441.7777,9652.562069244,23658.5445,209,0.408000026303470369
1666850400000,2022-10-27 06:00:00,ADA/USDT,0.41138,0.41241,0.40801,0.40839,28341.816747124,69140.9257,11882.124076296,28993.9699,299,0.409915762190039606
1666846800000,2022-10-27 05:00:00,ADA/USDT,0.40761,0.41833,0.40689,0.41156,33674.24674019,82336.9958,17811.800592017,43501.1306,315,0.40899536321911117
1666843200000,2022-10-27 04:00:00,ADA/USDT,0.40694,0.40895,0.40502,0.40762,35094.038379838,86404.8218,15615.510382505,38430.0269,277,0.406160633975276037
1666839600000,2022-10-27 03:00:00,ADA/USDT,0.40241,0.40732,0.40241,0.40694,30210.683522846,74412.8749,14871.919932923,36643.8964,270,0.405989061915636868
1666836000000,2022-10-27 02:00:00,ADA/USDT,0.40614,0.40942,0.4024,0.4024,27410.8862303,67549.6205,8964.317656434,22023.3782,289,0.405799486278435057
1666832400000,2022-10-27 01:00:00,ADA/USDT,0.41115,0.41115,0.40423,0.40637,42596.615922677,104801.947,9966.637935428,24538.1804,304,0.406452044579352575
